time_period,time_identifier,geographic_level,country_code,country_name,region_code_origin,region_name_origin,YAG,sex,mature,selective_status,FSM,POLAR4,migration1,migration2,grads,grads_uk,unmatched_percent,overseas_percent,matched,prop_overall
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently elsewhere,3730,3600,0,3.43347639484979,3600,4.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently elsewhere,8930,8690,0,2.68817204301075,8690,6.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently elsewhere,5685,5510,0,3.02603800140746,5510,4.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently elsewhere,70,70,0,1.42857142857143,70,2.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently elsewhere,190,175,0,5.85106382978723,175,6.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently elsewhere,17030,16225,0,4.7269524368761,16225,21.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently elsewhere,4480,4285,0,4.39634010265566,4285,5.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently elsewhere,10990,10480,0,4.65793304221252,10480,8.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently elsewhere,7715,7375,0,4.3562816024893,7375,5.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently elsewhere,120,115,0,3.38983050847458,115,7.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently elsewhere,175,165,0,5.14285714285714,165,10.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently elsewhere,20710,18680,0,9.80297469576975,18680,26.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently elsewhere,6130,5595,0,8.68146214099217,5595,7.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently elsewhere,11980,10895,0,9.04992486224745,10895,10.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently elsewhere,10155,9360,0,7.82942682686626,9360,8.7
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Northern Ireland,1 YAG,Female + male,0,Total,Total,Total,Total,Total,2335,2335,0,0.0428449014567267,2335,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Scotland,1 YAG,Female + male,0,Total,Total,Total,Total,Total,1080,1075,0,0.37037037037037,1075,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Wales,1 YAG,Female + male,0,Total,Total,Total,Total,Total,5565,5560,0,0.107797340998922,5560,100
202122,Tax year,National,K02000001,United Kingdom,E12000004,East Midlands,1 YAG,Female + male,0,Total,Total,Total,Total,Total,17540,17400,0,0.815232882959922,17400,100
202122,Tax year,National,K02000001,United Kingdom,E12000006,East of England,1 YAG,Female + male,0,Total,Total,Total,Total,Total,23995,23750,0,1.03346251614785,23750,100
202122,Tax year,National,K02000001,United Kingdom,E12000007,London,1 YAG,Female + male,0,Total,Total,Total,Total,Total,41165,40800,0,0.886654034883156,40800,100
202122,Tax year,National,K02000001,United Kingdom,E12000001,North East,1 YAG,Female + male,0,Total,Total,Total,Total,Total,8485,8430,0,0.648355534598609,8430,100
202122,Tax year,National,K02000001,United Kingdom,E12000002,North West,1 YAG,Female + male,0,Total,Total,Total,Total,Total,27430,27200,0,0.838528564657844,27200,100
202122,Tax year,National,K02000001,United Kingdom,E12000008,South East,1 YAG,Female + male,0,Total,Total,Total,Total,Total,37275,36910,0,0.976499624423221,36910,100
202122,Tax year,National,K02000001,United Kingdom,E12000009,South West,1 YAG,Female + male,0,Total,Total,Total,Total,Total,17730,17530,0,1.12796796570977,17530,100
202122,Tax year,National,K02000001,United Kingdom,E12000005,West Midlands,1 YAG,Female + male,0,Total,Total,Total,Total,Total,21875,21720,0,0.704032184328426,21720,100
202122,Tax year,National,K02000001,United Kingdom,E12000003,Yorkshire and The Humber,1 YAG,Female + male,0,Total,Total,Total,Total,Total,19450,19310,0,0.724857470401653,19310,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Northern Ireland,3 YAG,Female + male,0,Total,Total,Total,Total,Total,2310,2295,0,0.476603119584055,2295,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Scotland,3 YAG,Female + male,0,Total,Total,Total,Total,Total,1070,1065,0,0.561272217025257,1065,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Wales,3 YAG,Female + male,0,Total,Total,Total,Total,Total,5665,5640,0,0.459039548022599,5640,100
202122,Tax year,National,K02000001,United Kingdom,E12000004,East Midlands,3 YAG,Female + male,0,Total,Total,Total,Total,Total,17325,17060,0,1.54671899347839,17060,100
202122,Tax year,National,K02000001,United Kingdom,E12000006,East of England,3 YAG,Female + male,0,Total,Total,Total,Total,Total,24180,23755,0,1.75750558266479,23755,100
202122,Tax year,National,K02000001,United Kingdom,E12000007,London,3 YAG,Female + male,0,Total,Total,Total,Total,Total,40790,40175,0,1.50768551886446,40175,100
202122,Tax year,National,K02000001,United Kingdom,E12000001,North East,3 YAG,Female + male,0,Total,Total,Total,Total,Total,8610,8470,0,1.62592183961442,8470,100
202122,Tax year,National,K02000001,United Kingdom,E12000002,North West,3 YAG,Female + male,0,Total,Total,Total,Total,Total,27860,27395,0,1.67252889239825,27395,100
202122,Tax year,National,K02000001,United Kingdom,E12000008,South East,3 YAG,Female + male,0,Total,Total,Total,Total,Total,37085,36410,0,1.822888577284,36410,100
202122,Tax year,National,K02000001,United Kingdom,E12000009,South West,3 YAG,Female + male,0,Total,Total,Total,Total,Total,18045,17635,0,2.26643023384684,17635,100
202122,Tax year,National,K02000001,United Kingdom,E12000005,West Midlands,3 YAG,Female + male,0,Total,Total,Total,Total,Total,22295,21995,0,1.35450304987442,21995,100
202122,Tax year,National,K02000001,United Kingdom,E12000003,Yorkshire and The Humber,3 YAG,Female + male,0,Total,Total,Total,Total,Total,19780,19480,0,1.52181606754639,19480,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Northern Ireland,5 YAG,Female + male,0,Total,Total,Total,Total,Total,2030,2005,0,1.13356333169049,2005,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Scotland,5 YAG,Female + male,0,Total,Total,Total,Total,Total,1010,995,0,1.77865612648221,995,100
202122,Tax year,National,K02000001,United Kingdom,z,All regions in Wales,5 YAG,Female + male,0,Total,Total,Total,Total,Total,5035,4980,0,1.07291873634015,4980,100
202122,Tax year,National,K02000001,United Kingdom,E12000004,East Midlands,5 YAG,Female + male,0,Total,Total,Total,Total,Total,16590,16245,0,2.07366327084212,16245,100
202122,Tax year,National,K02000001,United Kingdom,E12000006,East of England,5 YAG,Female + male,0,Total,Total,Total,Total,Total,23060,22535,0,2.28110499154343,22535,100
202122,Tax year,National,K02000001,United Kingdom,E12000007,London,5 YAG,Female + male,0,Total,Total,Total,Total,Total,37345,36645,0,1.87704171798854,36645,100
